MONUMENT_RECORD_NO,KNOWN_AS,EASTING,NORTHING,MONUMENT_TYPE,PERIOD,PERIOD_TEXT,CONSTRUCTION,DEMOLITION,STOREYS,BAYS,ROOF,EXTANT,CONDITION,CLASS,BROAD_TERM,NARROW_TERM,POSTAL_ADDRESS,LISTED_BUILDING_GRADE,LISTED_BUILDING_NO,AMENDED,MONUMENT_DESC,Location 1
2958M,"Bedminster Gate Toll house, Bedminster Down Road",357810,170683,Toll house,PM2,Post-medieval 1700-1900,,,,, ,0,,Transport,Road transport site,Toll house,Bedminster Down Road,,,38651,"Bedminster Gate tollhouse, located on the south-western side of the junction of Parson Street and Bedminster Down Road. The tollhouse was a two-storey building with a slate roof. The northern end took the form of an octagon with the southern part a rectangular block. The entrance door was in the northern side of the octagonal part of the building and there were probably casement windows in each of the other faces, except that for one in the upper floor which, by 1937, had been replaced by a sign for H. Phillips & Sons, Builders and Decorators. There was a weighbridge on the south side of the building. The building was demolished in 1965 (Jones & Chown 1977, pl45).","(51.433567, -2.6083059)"
2959M,"Plough Inn, Bedminster Down Road",357733,170625,Public house,PM2,Post-medieval 1700-1900,,,,, ,0,,Commercial,Licensed premises,Public house,Bedminster Down Road,,,38625,"The Plough Inn, located on the south-eastern side of Bedminster Down Road. The building was in existence in the early 1840s.","(51.433039, -2.6094065)"
2960M,Chapel at Bell Hill Road,363265,173700,Chapel,PM2,Post-medieval 1700-1900,,,,, ,0,,"Religious, Ritual and Funerary",Chapel,Nonconformist chapel,Bell Hill Road,,,38625,Chapel located on the north side of Bell Hill Road. The chapel was constructed in the late-nineteenth century and was first recorded by the Ordnance Survey second edition 1:2500 plan (Gloucestershire Sheet LXXII.14) published in 1904. The building measured 8 metres from east to west and was 12.5 metres long. It was still extant in 1916 but was subsequently demolished.,"(51.461074, -2.5301521)"
2961M,"Methodist chapel at Church Road, Redfield",361380,173488,Methodist chapel,PM2,Post-medieval 1700-1900,,,,, ,0,,"Religious, Ritual and Funerary",Nonconformist chapel,Methodist chapel,Church Road,,,38625,"Methodist chapel located on the north side of Church Road, Redfield. The chapel was constructed in the nineteenth century and was recorded by the Ordnance Survey first edition County Series 1:2500-scale plan (Gloucestershire Sheet LXXII.13) published in 1884. The building measures 15 metres from east to west and is 13 metres wide.","(51.459042, -2.5572601)"
2039M,Avonmouth Dock,351250,177951,Dock,PM2,Post-medieval 1700-1900,,,,, ,1,,Maritime,Dock and harbour installation,Dock, ,,,38625,"Avonmouth Dock. The dock was built by the Bristol Port and Channel Dock Company. It was completed in 1877. A rectangular basin with wharves around the sides. An Act of Parliament of 28 June 1877 (40 and 41 Vict. Ch.lxv) allowed the company to construct a graving dock.
The Bristol Port and Channel Dock Company was taken over by Bristol Council in 1884.","(51.498384, -2.7036712)"
2337M,"Zion Chapel, Bedminster",358918,171983,Chapel,PM2,Post-medieval 1700-1900,,,,, ,1,,"Religious, Ritual and Funerary",Place of worship,Chapel,Coronation Road,,,38743,"Zion Chapel, located on the south side of Coronation Road, Bedminster on the west side of the junction with Bedminster Parade. The chapel was built in 1829-1830 by John Hare and is of Pennant sandstone rubble construction with limestone ashlar detailing (Stell 1986, 64). Stell notes that an organ gallery was added in 1878-1880 and the seating was also renewed at that date. The chapel is set within a walled plot.
An Order in Council of 18 February 1854 made under the Burial Act of 1852 ordered that burials were ""to be discontinued within five yards of Zion Independent Chapel, in the parish of St. Mary Redcliffe and only one body to be buried in each grave."" The Ordnance Survey first edition 1:500-scale Town plan surveyed in 1883 (Bristol Sheet LXXII.4.15) indicates that there were two discrete areas of interment against the north and east boundaries.
The chapel has a Grade II listing (Listed Building number 901-1/45/376).","(51.445337, -2.5925192)"
2338M,"Churchyard, Redland Chapel",357980,174992,Churchyard,PM2,Post-medieval 1700-1900,,,,, ,1,,"Religious, Ritual and Funerary",Mixed Cemetery,Churchyard,Redland Green Road,,,38625,"The churchyard of Redland Chapel (SMR 9594), Redland. The perimeter walls, gate piers and gates to the churchyard have a Grade II* listing (Listed Building Number 1724).","(51.472322, -2.6063738)"
2340M,Wreck west of Stup Pill,352475,182105,Wreck,PM2,Post-medieval 1700-1900,,,,, ,0,,Maritime,Wreck,Wreck,Severn Road,,,38625,"A wreck lying to the west of Stup Pill, Chittening. The remaining element of the ship was 20.8 metres long and the part exposed above the mud appeared to be the eroded upper ends of floor timbers 0.2-0.25 metres above the sediments.
The vessel was estimated to be between approximately 5 and approximately 8 metres across. No evidence of a mast step was observed. The exposed planks were of oak and were cut rather than grown crook timbers. No artefacts were observed within the vessel.
It was concluded that the ""unusual length to breadth ratio would seem to indicate a craft built for speed and not a large cargo carrying capacity - possibly a vessel such as a clipper or yacht,"" though alternatively the shape would be comparable to that of river colliers.(Buglass 1996).","(51.535836, -2.6865871)"
2341M,"Possible gazebo, Belmont Street",360708,174482,Gazebo,PM2,Post-medieval 1700-1900,,,,, ,1,,"Gardens, parks and urban spaces",Garden building,Gazebo,Belmont Street,,,38625,"A circular stone tower at the northern end of Belmont Street. The crenellated tower has two-storeys and includes a gothic window. The tower is recorded on the 1st edition Ordnance Survey map but its function is not stated. The tower may be a gazebo, possibly associated with Manor House to the south.","(51.467933, -2.5670427)"
2857M,"Air Raid Shelter at the rear of No.176 Pen Park Road, Southmead",358632,179057,Air raid shelter,Mod,Modern 1900-,,,,, ,0,,Defence,Civil defence site,Air raid shelter,Pen Park Road,,,38625,"A domestic surface air raid shelter located to the rear of No.176 Pen Park Road, Southmead. The shelter stands 11 metres to the north-east of the house and is of the traverse entry type, constructed of brick with a flat reinforced concrete roof. The entrance is at the southern end of the north-west facing elevation and has been bricked up.","(51.508918, -2.5974649)"
2706M,"Cattle Pens, St. Philips",360550,172750,Cattle docks,PM2,Post-medieval 1700-1900,,,,, ,0,,Transport,Cattle docks,Cattle docks, ,,,38625,"Cattle pens located some 120 metres to the north of Silverthorne Lane. The pens were recorded by the Ordnance Survey first edition 1:500 plan (Bristol Sheet LXXVI.1.3) surveyed in 1883 and were still extant at the beginning of the twentieth century. The area of the pens had, however, been reduced significantly by the end of the First World War, and the railway expanded across the northern part of its site.","(51.452349, -2.5691234)"
2707M,"Bristol Rolling Works, St. Philips",360450,172452,Rolling mill,PM2,Post-medieval 1700-1900,,,,, ,0,,Industrial,Metal industry site,Rolling mill,Silverthorne Lane,,,38625,"Bristol Rolling Works, located on the south side of Silverthorne Road. The works was recorded by the Ordnance Survey first edition 1:500 plan (Bristol Sheet LXXVI.1.3) surveyed in 1883. The site included a railway timber yard to the west. The site appears to have become a yard for the Bristol Corporation by the end of the First World War but the buildings survived into the mid-1960s. The site was subsequently redeveloped.","(51.449663, -2.570529)"
2397M,"Parish Boundary Marker Stone at Ladies Mile, Durdham Down",356905,174922,Parish boundary,PM2,Post-medieval 1700-1900,,,,, ,1,,Civil,Parish boundary,Parish boundary,Ladies Mile,,,38651,"Parish Boundary Marker Stone at Ladies Mile, Durdham Down.","(51.471611, -2.6218416)"
2708M,"Bristol Vitriol Works, Avon Street",360015,172478,Acid works,PM2,Post-medieval 1700-1900,,,,, ,0,,Industrial,Chemical production site,Acid works,Avon Street,,,38625,"Bristol Vitriol Works, located on the western side of Avon Street. The works was in existence by the time of Plumley and Ashmead's 1828 plan of Bristol. The works was still extant at the time of the Ordnance Survey first edition 1:500 plan (Bristol Sheet LXXVI.1.3) surveyed in 1883 but had been demolished by the beginning of the twentieth century.","(51.449866, -2.5767914)"
2170M,Greensplot Farm,353132,181194,Farm,PM2,Post-medieval 1700-1900,,,,, ,0,,Agriculture and subsistence,Land-use site,Farm,Chittening Road,,,39707,"Greensplot Farm, located on the southern side of Washingpool Lane. The farm was recorded by the 1830 Ordnance Survey plan. It was recorded as Green Splot Farm in 1839. The Ordnance Survey 1:2500 plan of 1915 (Gloucestershire sheet LXVII.10) depicts a farmhouse and outbuildings to the north-east. The farm  appears to have been demolished sometime between 1955 and 1969 (Corcos, 2008, 3), possibly for the construction of large storage sheds that were granted planning permission in 1963.","(51.527701, -2.6769939)"
2172M,Washingpool Farm,353353,181543,Farm,PM2,Post-medieval 1700-1900,,,,, ,0,,Agriculture and subsistence,Land-use site,Farm,Chittening Road,,,38625,"Washingpool Farm. A farm was depicted on this site (ST 53414 81560) in 1830 (Ordnance Survey 1:63360). The range of buildings was recorded in 1915 (Ordnance Survey County Series 1:2500-scale plan, Gloucestershire Sheet LXVII.10). It was a farm with a number of outbuildings, probably of post-medieval date. Much of the post-medieval site now lies beneath the A403 and was destroyed by construction of a reservoir associated with the Sevalco Works. Walls and brick paved surfaces survive west of the A 403.
A small ""island"" shown by the maps to the south of the site was reached from the farm by a small footbridge, and may represent an earlier possible moated site (ST 53423 81511) (1). The area enclosed by the ditch measures 20 metres north-south by 27 metres east-west. The site of the farm is largely overgrown with trees, although not built over, and the ""moat"" is untouched. Substantial archaeological deposits and structures probably survive.
The site was visited by R. G. Jackson during the course of a desk-based assessment (SMR 20081) of areas of Bristol City Council owned land north of Avonmouth in December 1996. The ditch surrounding the site of the possible moated site was dry and was up to 1 metre deep in some places. The site was still overgrown by trees.","(51.530857, -2.6738548)"
2173M,Rockingham Farm,352725,180923,Farm,PM2,Post-medieval 1700-1900,,,,, ,0,,Agriculture and subsistence,Land-use site,Farm,Smoke Lane,,20073,38625,"Rockingham Farm. The 1830 1:63360 map depicts two buildings in a yard and attached orchard at this NGR (1). By 1915, a range of buildings set around a yard had evolved, although construction of a bridge over the adjacent railway had intruded slightly (Glos LXVII.10).","(51.52523, -2.6828239)"
2174M,Mere Bank Farm,352133,180069,Farm,PM2,Post-medieval 1700-1900,,,,, ,0,,Agriculture and subsistence,Land-use site,Farm, ,,,38625,"This site was recorded on the 1830 1""/1:63360 map (1), although not named there. In 1915 (Glos sheet LXVII.10), a house and series of outbuildings, with a yard, was recorded, which was still there in 1946 (CPE UK 1869 3016). The site was waste ground in 1991. Archaeological deposits and structures relating to the farm almost certainly survive. Its date of origin cannot be established at present.","(51.517502, -2.6912401)"
2176M,Kingroad Farm,352111,179415,Farm,PM2,Post-medieval 1700-1900,,,,, ,0,,Agriculture and subsistence,Land-use site,Farm, ,,,38625,"Kingroad Farm, located to the south-east of Kings Weston Rhine. The farm was in existence at the time of the Henbury tithe survey of 1840. It survived into the early twentieth century but was subsequently demolished and the site redeveloped.","(51.51162, -2.6914681)"
2177M,Barracks Cottages,352473,178668,House,PM2,Post-medieval 1700-1900,,,,, ,0,,Domestic,Dwelling,House,Third Way,,,38625,"A group of buildings was depicted at this site in 1830 (Ordnance Survey 1:63360), and was still in existence in 1946 (CPE-UK-1869 4030). The site had been built over by 1982. Archaeological evaluation of the site in 2001 (20683) identified the surviving remains of lime bonded rubble walls, interior floor surfaces and a cobbled yard and recovered artefactual material dating to the eighteenth century.","(51.504935, -2.6861512)"
2393M,Crox Top Farm,358623,168916,Farm, ,,,,,, ,0,,Agriculture and subsistence,Land use site,Farm,Inns Court Drive,,,38625,"Crox Top Farm in Knowle. The farm comprised two main buildings just over 320 metres to the south-west of Inns Court, on either side of a lane leading to the farm from what is now Hartcliffe Way. Outbuildings lay to the east.","(51.417739, -2.5964044)"
2394M,"Horfield Baptist Church, Gloucester Road",359190,175767,Baptist chapel,PM2,Post-medieval 1700-1900,,,,, ,0,,"Religious, Ritual and Funerary",Nonconformist chapel,Baptist chapel,Gloucester Road,,,38625,Horfield Baptist Church located on the east side of Gloucester Road.,"(51.479378, -2.5890436)"
2395M,"Parish boundary marker stones at the allotment site, Callington Road",361090,170276,Bondary marker,PM2,Post-medieval 1700-1900,,,,, ,0,,Monument,Bondary marker,Boundary stone,Callington Road,,,38625,"Two parish boundary marker stones, indicating the boundary between the parishes of Brislington and Bedminster in the southern part of the allotment site on the north side of Callington Road, Brislington. The stones (at ST 61052 70308 and ST 61128 70245) are recorded by Ordnance Survey maps from 1938 onwards. Only one, marked ""CB 1897"", was found by Burchill in March 2000 during a visit to the site as part of a desk-based assessment (Burchill 2000).","(51.430143, -2.5610798)"
